Item|Description
9UD80030D-048|DV8000,30,DELUXE,480GB,NTSC    
9UD80030P-048|DV8000,30,PREMIER,480GB,NTSC   
9UEB-5|MICROWAVE 915,DOUBLECHECKER    
9UESM480|INTLX, EXTND STRG MDL, 480G    
9UESM640|INTLX,EXTND STRG MDL, 640G     
9UIPC019|V5.5 DRIVE PCB COMPLETE        
9UIPC033|TV64SECM.PCB COMPLETE          
9UKT-200CSA|DOOR CONTROLLER CSA            
9UKT-200PCB|DOOR CONTROLLER                
9UKT-300PCB128|DOOR CONTROLLER 128K PCB       
9UMV16P-20|DPLX,MUX,16,B/W                
9UMV16P-30|DPLX,MUX,16,B/W, EIA           
9UMV19P-30|DPLX,MUX,9,B/W, EIA            
9UMV47|QUAD,PREM,W/PLYBK,B/W,EIA      
9UMV77|QUAD,STD,SEQ S/W,CLR,NTSC      
9UMV87|QUAD,PREM,W/PLYBK,CLR,NTSC     
9UMV94P-30|DPLX,MUX,4,CLR,NTSC            
9UMV96P-30|DPLX,MUX,16,CLR,NTSC           
9UMV99P-30|DPLX,MUX,9,CLR,NTSC            
9URA444S|INDR DOME PG CCD               
9URAS585LP|SPEEDDOME ID EIA CHASSIS       
9URAS585LS|CHASSIS,SPEEDDOME,SNET,INDR,EI 
9URAS586LS|CHASSIS,SPEEDDOME,SNET,INDR,NT 
9URAS588LP|CHASSIS,SPEEDDOME-LT,INDR,NTSC 
9URJ1SNUD|SINGLE POS,J-BOX SENET 120VAC  
9URJ856UD|SGL POS,J-BOX RS-422 1   20VAC 
9URM-4|READER PERSONALITY MODULE      
9URM-4K|SWH RM PERSONALITY MODULE      
9URM1-MP|READER, STD MAG-STRIPE CARD    
9URM1-PH|RM1 HUGHES PROX RDR            
9URM1-W|RM1 WIEGAND PROX RDR           
9URM109|VIDEO MONITOR                  
9URM117S|MONITOR, 17 INCH BW EIA/CCIR   
9URM2-MP|READER, STD MAG-STRIPE CARD    
9URM2-PH|READER, SWH PROXIMITY W/KEYPAD 
9URM2L-PH|RM2L RDR,HUGHES PROX W/KEYPAD  
9URM310|MONITOR,10 INCH COLOR NTSC/PAL 
9URM314|MONITOR 14                     
9URM321|MONITOR 21 INCH COLOR          
9URM427E|27 INCH COLOR PVM              
9URP16|RMT CNT PNL,1K                 
9URT130C|CAM, 1/3, NTSC, 24V, 60H, SEC  
9URT4444C|CAMERA 1/3" CLR NTSC           
9URT4444Q|QUAD POWER SUPPLY RT4444C      
9URTX1000N|VIDEO SERVER, SENSORMATIC      
9URV1316-30|DPLX,MUX,16,B/W,EIA            
9URV2109|MULPLXR,CLR,9CH                
9URV2204-30|DPLX,MUX,4,CLR,NTSC            
9URV2209-30|DPLX,MUX,9,CLR,NTSC            
9URV2216-20|DPLX,MUX,16,CLR                
9URV2216-30|DPLX,MUX,16,CLR,NTSC           
9URV2400|24 HOUR TIME LAPSE VCR, NTSC   
9URV2424|RECORDER 24TL/24RT NTSC        
9URV2904A|4 CAM, NTSC CLR SIMPLEX        
9URV2904A-30|SMPLX,MUX,4,CLR,NTSC           
9URV2909A-30|SMPLX,MUX,9,CLR,NTSC           
9URV3116|MLPLXR W/MD 16CH               
9URVGA1710B|SVGA MONITOR,17 INCH, BLACK    
9URVGVPT2|COLOR VIDEO PRINTER            
9URVTLR24B|RECORDER TLR BASIC             
9USMV909P-30|SMPLX,MUX,9,CLR,NTSC           
9USMV916P-30|SMPLX,MUX,16,CLR,NTSC          
9USNVTU|SENSORTRAC RF VIDEO TRANSPORT  
9USTAR-ACM8-W|RDR MOD WIEGAND W/RELAY BRD    
9USTARGC-16MB|GEN CTLR, W/ TRANS INTFC&16MB  
9UTCS-100PCB|TCS-100 MAIN PCB               
9UZAUPSH|SECONDARY UNIT,NON-EUROPEAN PK 
9UZAUPSH2|ULTRA*POST II,ULTRA·MAX,SEC    
9UZB149XP|DOUBLECHECKER,ULTRA*MAX,58/60K 
9UZB749XP|DOUBLE CHECKER ,U*M,58/60/68 K 
9UZBSLPP2|COST REDUCED SCANMAX PWR PACK  
9UZBSMPRO|SCANMAX PRO CONTROLLER         
9UZBSTPPK1|POWER PACK,BASE,STP            
9UZEHHBCS|HANDHELD BASE CHARGING STATION 
9UZEHHDTHD|HANDHELD DEACTIVATOR FOR HD    
9UZEHHDW|HANDHELD DEACTIVATOR           
9UZEUPPLUS|PACKAGE ASM,PWR PK,UPPLUS      
A-CDVR80|VIDEO DVR COMPACT DVR 80GB BNC 
A-SDR4E-80|VIDEO, VCR, DVMRE; DIGITAL REC 
ABCG-402|POWER COND 4A GRD ISOLATION    
AD100IR16|IR INTERFACE MODULE, 120V      
AD100IRE|CABLE, IR EMITTER FOR MATRIX   
AD100RL8|RESISTIVE LADDER INTERFC 120V, 
AD100RL8-1|RESISTIVE LADDER INTERFC 220V  
AD100RLW|RESISTIVE LADDER WIRE          
AD100RS8|RS-232 INTERFACE 120V          
AD100RSC|RS-232 CABLE                   
AD100XA-1A|RECORDER CONTROLLER, 230V      
AD1010-TBB|120V 300W SPOT FOR AD1010/T    
AD1020-1541|IR FLOOD, 15W LED INDOR 403 95 
AD1020-15PS|POWER SUPPLY,120V FOR AD1020/1 
AD1020-3020|IR SPOT,30W LED OUTDOOR 203 88 
AD1020-3050|IR FLOOD,30W LED OUTDOOR 503 8 
AD1020-3051|IR FLOOD,30W LED OUTDOOR 503 9 
AD1020-6020|IR SPOT,60W LED OUTDOOR 203 88 
AD1020-6050|IR FLOOD,60W LED OUTDOOR 503 8 
AD1020-6051|IR FLOOD,60W LED OUTDOOR 503 9 
AD1024CG|CHARACTER GENERATOR 4 CHAN     
AD1024CPU|MEGAPWR 2 W/MENU DISPLAY OTPT  
AD1024CPUKIT|2050-1024 SYSTEM UPGRADE KIT   
AD1024HS|HOTSWITCH-DUAL CPU, 120V       
AD1024HSX|HOTSWITCH-DUAL CPU, 230V       
AD1024R128-12|MATRIX SWITCH, 120V, 128-12    
AD1024R160-12|MATRIX SWITCH, 120V, 160-12    
AD1024S3|S3 SETUP SOFTWARE              
AD1040-3060PSA|POWER SUPPLY,FOR AD1020-30-60  
AD1200AX|HARDWIRE CONTR. FOR 24VAC P/T, 
AD1240-24|P/T,FIX SPD 45LB 24VAC         
AD1240-24A|P/T,FIX SPD 45LB 24VAC AUTO PA 
AD1240-24H|P/T,FIX SPD 45LB 24VAC HEATER  
AD1240-24P|P/T,FIX SPD 45LB 24VAC PRESET  
AD1240-24PH|P/T,FIX SPD 45LB 24VAC PRESET  
AD1241-24VPH|HEATER,AD1241-24VP FIXED,RDU   
AD1301|HSNG, CEILING WDGE,TMPR PRF,9" 
AD1301DCM|MNT FOR AD1301 HSG, OFF-WHT    
AD1303|HSNG,CEILING WDGE,TMPR PRF,12" 
AD1303DCM|MNT FOR AD1303 HSG, OFF-WHT    
AD1303RK|MNT/RAIL KIT FOR AD1303        
AD1305|HOUSING, INDOOR CORNER,8"      
AD1310-H24|CAMERA HOUSING 10 INCH W/HEAT  
AD1314|HOUSING, IN/OD,12" CAM,BEIGE   
AD1314-B24|BLOWER KIT FOR AD1314,24VAC    
AD1314-H24|HEATER KIT FOR AD1314,24VAC    
AD1314-HB24|HOUSING, IN/OD,HT&BLW,BEIGE    
AD1314-SS|HOUSING, SUNSHIELD FOR AD1314  
AD1315-10|HOUSING, ID/OD,10",BEIGE       
AD1315-10S|HSNG,CAM, ID/OD,10",SHLD,BEIGE 
AD1315-10SH24|HSNG,ID/OD,10",SHLD,HTR,BEIGE  
AD1335-14SH24|HSNG,ID/OD,14",SHLD,HTR,BEIGE  
AD1335-H24|HEATER KIT, 24V FOR 1335 &1337 
AD1348-14|HSNG,ID/OD 14",ANDZD ALUM      
AD1348-14HK|HTR THERM KIT, 24VAC AD1348    
AD1371C|MNT, WALL,FOR AD1315,BEIGE     
AD1372B|MNT, WALL FOR AD1335 SERIES/B  
AD1373B|MNT-WALL,FOR AD1348-14,BLK     
AD1381|MNT, P/T-WALL,FOR AD1240,BEIGE 
AD1382|MNT-P/T-WALL,FOR AD1240,BEIGE  
AD1384|MNT,P/T-PDSTL,FOR AD1240,BEIGE 
AD1385|MNT-P/T-POLE,FOR AD1240,BEIGE  
AD1389A|MNT-P/T-SWVL,FOR AD1381/4/5    
AD1408A|8 POSITION SWITCHER            
AD1421|VIDEO DISTRIBUTION AMPLIFIER   
AD1422|VIDEO LINE AMPLIFIER           
AD1603N|POWER SUPPLY 120V              
AD1603N-X|POWER SUPPLY 230V              
AD1609CM|CAMERA MODULE LOOPING          
AD1609PC|CAMERA MODULE PCB              
AD1611|CAMERA MODULE NON-LOOPING      
AD1626|MONITOR MODULE - DUAL          
AD1626BP|BACK-PANEL - MONITOR MODULE -  
AD1626KIT|SFTWR UPDT FOR OUTPUT MODULE   
AD1641EKIT|AD1641  RECEIVER DRIVER        
AD1641M-2|RDU, 1 SITE, 24V, 2A, 2 AUX, I 
AD1641M-2F-1|RDU, 1 SITE, 24V, 2A, 2 AUX, I 
AD1641M-2X|RDU, 1 SITE, 24V, 2A, 2 AUX, I 
AD1650BKIT|CONVERSION KIT 1650A TO 1650B  
AD1651BR|BAY - MICROPOWER 120V          
AD1655R|BAY - MICROPOWER 120V          
AD1656R|BAY - MICROPOWER 120V          
AD1676BX|KEYBOARD - 5 MONITORS RS232 23 
AD1683|MODEM - CONTROL CODE TXRX      
AD1686B|RDU, 2 SITE, DUAL VOLT, OTDR   
AD1686BPC|RECEIVER PC BOARD              
AD168CCM-1|AD168 CONTROL CODE MODULE      
AD168CCM-BP|AD168 CCM BACK PANEL           
AD168CCM-PC|AD168 CCM PC CARD              
AD168CPM-BP|AD168 CPM BACK PANEL           
AD168CPM-PC|AD168 CPM PC CARD              
AD168PSM-BP|AD168 PSM BACK PANEL           
AD168PSM-PC|AD168 PSM PC CARD              
AD168UPGR-33|AD168,SOFTWARE VERSION 3.3     
AD168UPGR-CBL|AD168 UPGRADE CABLE KIT        
AD168UPGR-CPU|AD168 CPU UPGRADE KIT          
AD168VIM-1|AD168 VIDEO INPUT MODULE 1     
AD168VIM-2|DISTRIB. UNIT - MANCHESTER     
AD168VIM-3|DISTRIB. UNIT - MANCHESTER     
AD168VIM-4|AD168 VIDEO INPUT MODULE LOOPG 
AD168VIM-BP1|AD168 VIDEO INPUT BACK PANEL 1 
AD168VIM-BP2|AD168 VIDEO INPUT BACK PANEL 2 
AD168VIM-BP3|AD168 VIDEO INPUT BACK PANEL 3 
AD168VIM-BP4|AD168 VIDEO INPUT BACK PANEL 4 
AD168VIM-PC|AD168 VIDEO INPUT PC CARD      
AD168VOM-1|VIDEO OUTPUT MODULE, NTSC      
AD168VOM-2|AD168 VIDEO OUTPUT MODULE,PAL  
AD168VOM-PC|AD168 VOM PC CARD, NTSC        
AD168VOM-PC2|AD168 VOM PC CARD, PAL         
AD1691|DISTRIB. UNIT - MANCHESTER     
AD1983|CODE CONVERTER                 
AD1983-CS536|CODE CONVERTER                 
AD1983X|CODE CONVERTER 220V            
AD2010DB|DATA RECVR/BUFFER 2010R&2020R  
AD2010DBVLKIT|AD2050 VIDEO LOSS DET. UPGRADE 
AD2010PS|POWER SUPPLY AD2010 AD2020 120 
AD2010R|BAY - HIGH DENSITY - STANDARD  
AD2016AVIM-1|CAMERA MODULE VIM1             
AD2016AVIM-2|CAMERA MODULE VIM2             
AD2016AVIM-3|CAMERA MODULE VIM3             
AD2016AVIM-4|CAMERA MODULE VIM4             
AD2016BP-1|BACK-PANEL CAMERA MODULE VIM1  
AD2016BP-2|BACK-PANEL CAMERA MODULE VIM2  
AD2016BP-3|BACK-PANEL CAMERA MODULE VIM3  
AD2016BP-4|BACK-PANEL CAMERA MODULE VIM4  
AD2016CB|CABLE INPT LOOPING 30" RIBBON  
AD2016CB8|CABLE INPT LOOPING 8| RIBBON   
AD2016PC|HD, INPT MOD W/O BACK PANEL    
AD2016TERM|TERMIN. CAP FOR VIM-2,VIM-3,VI 
AD2024AVOM-1|MONITOR MODULE STANDARD        
AD2024BP-1|BACK-PANEL MONITOR MODULE VOM1 
AD2024BP-2|BACK-PANEL MONITOR MODULE VOM2 
AD2024MDT|HIGH DENSITY DATE & TIME MODUL 
AD2024PC|MONITOR MODULE PCB             
AD2031|SWITCHER FOLLOWER 32 RELAYS    
AD2032|ALARM RESPONDER 32 RELAYS      
AD2033|AUXILARY FOLLOWER 32 RELAYS    
AD2052ACPM|PROCESSOR MODULE, AD2052       
AD2078AKIT|KEYBOARD, UPGRADE KIT          
AD2081|PORT EXPANDER,AD2081           
AD2081-1|PORT EXPANDER,AD2081-1         
AD2083-02B|CODE TRANS, SENSORMATIC RS     
AD2083-02B-1|CODE TRANS, SENSOR, VAR,230V   
AD2083-02BKIT|CODE TRANS,UPGD,AD2083-02B     
AD2088|SYS KEYBOARD - DESKTOP, 120V   
AD2088-1|SYS KEYBOARD-DESKTOP,230V MOD  
AD2088R|SYS KEYBOARD RKMT, 120V        
AD2088R-1|SYS KEYBOARD RKMT, 230V MOD    
AD2091|DISTRIB. UNIT - MANCHESTER     
AD2091-1|CODE GEN/DIST FOR HD SYS 220V  
AD2096-1|ALARM INTERFACE FOR H.D. SYS   
AD2096A|ALARM INTERFACE - 64 INPUTS    
AD2117-11|RACK KIT FOR TWO 8" UNITS      
AD2117-21|RACK KIT FOR AD1202            
AD2150EKIT|EXPANSION KIT - AD2150D16-5 TO 
AD2150NC|MATRIX SWITCHER ASSY,120V      
AD2150NC-1|MATRIX SWITCHER ASSY,230V      
AD5500|EXCALIBUR GRAPHICAL MANAGER    
AD5568|EXCALIBUR 168 GUI              
AD5581|EXCALIBUR DRIVER - MUX         
AD8168HD|VCR, 168 HR,H DEN,NTSC,120V    
AD910A|MON, B/W, 9IN, 800TVL,EIA/CCIR 
AD910ARK|MNT-RACK,FOR AD910A MONITOR    
AD912A|MON, B/W, 12IN, EIA/CCIR       
AD917A|MON, B/W, 17IN,800TVL,EIA/CCIR 
AD917ARK|MNT-RACK FOR AD917A MONITOR    
AD9410|MON, CLR, 10IN,280TVL,NTSC/PAL 
AD9414|MON, CLR, 14IN,360TVL,NTSC/PAL 
AD9414RK|MNT-RACK FOR AD9414 MONITOR    
AD950B|MON, CLR, 9IN, 280TVL,NTSC/PAL 
AD9517B|MON, CLR, 17IN,450TVL,NTSC/PAL 
AD9517RK|MNT-RACK FOR AD9517 MONITOR    
AD9615DS|MONITOR DESK STAND FOR AD9615V 
AD9615RK|RACK KIT FOR AD9615V MONITOR   
AD9615V|MON,CLR,15IN,LCD,NTSC/PAL      
ADACRJ45CVT1|ACCESSORY,RJ45TORJ11,COVERTR   
ADACSNET|USB CCTV CONTROL MODULE W/CBL  
ADACTD01128U|USB THUMBDRIVE SMART 128MB     
ADACTP01BNC|TWISTED PR VIDEO ADP BNC, MALE 
ADACUSBCVT1|USB TO DB9 SERIAL ADAPTER      
ADC112|POWER SUPPLY,CAM,AC120V/12V    
ADC112X|POWER SUPPLY,CAM,AC230V/12V    
ADC124|POWER SPPLY,120VAC-24VAC,1 OUT 
ADC1624UL|POWER SPPLY,120VAC-24AC,16 OUT 
ADC500|CAM,1/3,B/W,380,12VDC,EIA      
ADC520D|CAM, MICRO DOME, B/W           
ADC521B|CAM, BULLET, B/W INDOOR        
ADC522WP|CAM, BULLET, B/W WEATHERPROOF  
ADC523PIR|CAM, PIR, B/W (NON FUNC)       
ADC531|CAM,1/3,B/W,380,24VAC,EIA      
ADC531X|CAM,1/3,B/W,380,24VAC,CCIR     
ADC660|CAM,1/3,B/W,580,24VAC,EIA      
ADC660X|CAM,1/3,B/W,580,24VAC,CCIR     
ADC700|CAM,1/3,CLR,330,12VDC,NTSC     
ADC700X|CAM,1/3,CLR,330,12VDC,PAL      
ADC710|CAM, 1/3 IN CLR, DSP, NTSC     
ADC710X|CAM,1/3,CLR,330,24VAC,PAL      
ADC720D|CAM, MICRO DOME, COLOR         
ADC720DW|CAM,330TVL,3.6MM,12VDC,INDR,WH 
ADC721B|CAM, BULLET, COLOR INDOOR      
ADC722WP|CAM, BULLET, COLOR WEATHER PR  
ADC723PIR|CAM, PIR, COLOR (NON FUNC)     
ADC732X|CAM,1/3,CLR,330,24V/12V,PAL    
ADC762|CAM,1/3,CLR,470,24V/12V,NTSC   
ADC780-ORING|GASKET KIT FOR ADC780 HOUSING  
ADC780CM-24|DOME,CRNR,480TVL,CLR,24AC,NTSC 
ADC780CM-24HI|DOME,CRNR,480,CLR,24AC,NTSC,HT 
ADC780CM-H24|DOME,HEATER KIT FOR ADC780CM   
ADC780FD-24|DOME,FLSH,480,CLR,24VAC,NTSC   
ADC780SD-24|DOME,SFRC,480,CLR,24VAC,NTSC   
ADC780SD-24X|DOME,SRFC,480,CLR,24VAC,PAL    
ADC780SD-H24|DOME,HEATER KIT FOR ADC780SD   
ADC780SD-HB24|HEAT/FAN KIT FOR EXTREME COND  
ADC824UL|POWER SPPLY,120VAC-24VAC,8 OUT 
ADCA330CN|CAM,1/3,330 TVL,DSP,NTSC       
ADCA470CAFN|CAM,1/3,470TVL,ADV FEAT,NTSC   
ADCA470CAFP|CAM,1/3,470TVL,ADV FEAT,PAL    
ADCC0200|KEYBRD,DKSTP,CC,RS485,2-AXIS   
ADCC0300|KEYBRD,DKSTP,CC,RS485,2-AXIS   
ADCCACPSN|KYBRD,CC,ACCESSORY KIT,120V    
ADCH10|HSING ENVIR I/O 10"            
ADCH10B|HSING ENVIR I/O 10" B          
ADCH10H|HSING ENVIR I/O 10" H          
ADCH10HB|HSING ENVIR I/O 10" HB         
ADCH10HBMT8|HSING ENVIR I/O 10" HB 8" MNT  
ADCH10MT8|HSING ENVIR I/O 10" 8" MNT     
ADCH10SS|HSING ENVIR I/O 10" SUNSHIELD  
ADCHMTCEIL|HSING MOUNT, CEILING           
ADCHMTCRNR|HSING, MOUNT, CORNER           
ADCHMTPED|HSING MOUNT, PEDESTAL          
ADCHMTPOLE|HSING MOUNT, POLE              
ADCHMTWALL|HSING MOUNT, WALL              
ADCLVF1836DC|LENS,1/3,1 8-3 6MM,F1 6,AI,CS  
ADCLVF3212DC|LENS,1/3,2.8-12MM,F1.3,AI,CS   
ADCLVF3212MI|LENS,1/3,2.8-12MM,F1.3,MI,CS   
ADCM100T|MNT-TBAR,CAMERA,3",SILVER      
ADDG4004080N|DIGIMUX 4 CH 80 GB HD NTSC     
ADDG4004160N|DIGIMUX 4 CH 160 GB HD NTSC    
ADDG4004320N|DIGIMUX 4 CH 320 GB HD NTSC    
ADDG4009160N|DIGIMUX 9 CH 160 GB HD NTSC    
ADDG4009320N|DIGIMUX 9 CH 320 GB HD NTSC    
ADDG4016080N|DIGIMUX 16 CH 80 GB HD NTSC    
ADDG4016160N|DIGIMUX 16 CH 160 GB HD NTSC   
ADDG4016320N|DIGIMUX 16 CH 320 GB HD NTSC   
ADDGRC20|DIGI REMOTE IR REMOTE CONTROL  
ADIX4008P072|INTELLEX RMS 0.72 TERABYTES,NT 
ADIX4008P072P|INTELLEX RMS 0.72 TERABYTES,PA 
ADIX4008P096|INTELLEX RMS 0.96 TERABYTES,NT 
ADLOVFID49N|CAM,VR FLSH CLR,480 D/N,AI,4-9 
ADLOVSIH49N|CAM,VR SFRC SMK,CLR,480,AI,4-9 
ADMC1361|MNT-WALL,CAMERA, 7.5",BLACK    
ADMC1362|MNT-WALL,CAMERA, 7.5" ,BEIGE   
ADMC1363|MNT-WALL,CAMERA,7.5-12" BEIGE  
ADMC1365|MNT-J-TYPE,CAMERA, 7.5", BEIGE 
ADMC1366|MNT-WALL,CAMERA,7.5",GRAY      
ADMEMOCAM|PIR MEMCARD CAMERA             
ADMM9CR|RACK MOUNT FOR AD950A/B        
ADMN2032N|MON,CLR,32",PVM,FLAT,SLVR,NTSC 
ADMN3019N|MON,CLR,19IN, LCD, VGA,NTSC    
ADMNC1LCD15|MON,CLR,15IN, LCD VGA,         
ADMNC1LCD17|MON,CLR,17IN, LCD VGA,         
ADMNCA1LCD17|MONITOR 17 PVM WITH CAMERA     
ADMNLCD20|MOM,CLR,20,LCD,NTSC/PAL        
ADMNLCD20RK|MON,CLR,RK,20 LCD, NTSC/PAL    
ADMNLCD20W|MONITOR, 20 INCH LCD WHITE     
ADMNLCDRKMNT|RACK MOUNT FOR ADMNM1LCD15&17  
ADMNM1LCD15|MON, CLR, 15IN, LCD, NTSC/PAL  
ADMNM1LCD17|MON, CLR, 17IN, LCD, NTSC/PAL  
ADMNMT32|32 INCH PVM CEILING MOUNT      
ADMNMTLCDP|POLE MTG VESA COMP LCD MONITOR 
ADMNMTLCDW|LCD WALL MOUNT                 
ADMNMTLCDWA|MOUNT, WALL, LCD WITH ARMS     
ADMPLT16C2|MATRX SYS,LT,16X4,PAL/NTSC,C2  
ADMPLT16C3|MATRX SYS,LT,16X4,PAL/NTSC,C2  
ADMPLT32|MATRX SYS,LT,32X8,PAL/NTSC     
ADMPLT32C2|MATRX SYS,LT,32X8,PAL/NTSC,C2  
ADMPLT32C3|MATRX SYS,LT,32X8,PAL/NTSC,C3  
ADQUAD41N|QUAD, MOTION DETECTING         
ADQUAD47-1|QUAD,PREM,W/PLYBK,B/W,CCIR     
ADQUAD77|QUAD,STD,SEQ S/W,CLR,NTSC      
ADQUAD87|QUAD,PREM,W/PLYBK,CLR,NTSC     
ADR8010RK|VCR, MOUNT RACK-KIT FOR TLR    
ADSPOT|SINGLE POS OUTDR XFMR          
ADT2813/90|VIDEO, MONITOR, COLOR; 13", HI 
ADTRET-CC4APKG|VIDEO CAMERA PACKAGE QTY (4) I 
ADULP|UNIVERSAL LOOP PANEL           
ADULP-30|INSTLD VIM TERM, 1 BAY         
ADULP-96|UNIVERSAL LOOP PANEL W/96      
ADV096HD|VCR,96 HR,H DEN,NTSC,120V      
ADV1477V|QUAD,PREM,W/PLYBK,B/W,EIA      
ADV1477VX|QUAD,PREM,W/PLYBK,B/W,CCIR     
ADV1477X|QUAD, STD, B/W, CCIR           
ADV1577VX|QUAD,PREM,W/PLYBK,CLR,PAL      
ADV1577X|QUAD, STD, CLR, PAL            
ADXS1001016|WEBENTRY,16 DOOR CONTROLLER    
ADXS3001001|INFOPROX WITH DATABASE         
ADXS3001002|INFOPROX LITE NO DATABASE      
ALT-6062-5|MULTI-PURPOSE TIMER            
AR-DOC|EE PAPERWORK                   
ARK-501|MOT. ASP PINPROX BL            
ARK-501BLK|MOT. ASP PINPROX BL            
AS0015-00|APCS/I32, 32 SUPERVISED INPUT  
AS0016-00|APC R/48 RELAY MODULE          
AS002|REDUNDANT COMMUN CONVERTER - R 
AS0020-00|APC STAR COUPLER, 8 READERS    
AS0020-01|APC STAR COUPLER,MINI          
AS0020-02|F-CONN STAR COUPLER, COAXIAL   
AS0020-03|F-CONN STAR COUPLER T-BRD      
AS0054-00|APC STAR COUPLER, WIEGAND PROX 
AS0054-01|APC STAR COUPLER, WIEGAND/PROX 
AS0054-03|WIEG PROX STAR CPL-EXT WIE KYP 
AS0060-00|APC POWER SUPPLY WITH CABLE    
AS0063-01|APS W/ENC&TRANSFMR,NO BTTRY,UL 
AS0063-03|APS MOTHERBOARD ONLY           
AS0063-04|APS TRANSFORMER                
AS0063-05|APS SPARE BATTERY              
AS0063-CAB|APS TO APC POWER CABLE         
AS0063CAB|APC TO APS POWER SUPPLY CABLE  
AS0063ISTR|ISTAR TO APS PWR SUPPLY CABLE  
AS0073-000|APC 8RDR INPUT BUS MODULE      
AS0074-000|RM Output Final Assembly       
AS0100-004|apC/8X - 1MB - AS0100-004      
AS0100-004MB|APC/8X 1MB MOTHERBOARD ONLY    
AS0100-004NPS|APC/8X 1M NPS                  
AS0100-008|APC8X 8 READERS 2MB FLASH      
AS0100-008MB|APC8X 8 READERS 2MB FLASH      
AS0100-008NPS|APC8X 8 READERS 2MB FLASH      
AS0100-016|APC/8X 8 READERS 4MB FLASH     
AS0100-016MB|APC8X 8 READERS 4MB FLASH      
AS0100CAB|APC TO POWER SUPPLY CABLE      
AS0100CAN|APC ENCLSRS WITHOUT POWER SPLY 
AS0100CAP|APC 8X ENCLS W/POWER SPLY CABL 
AS0101-003|APC/L2-2F, 2 READERS 20000 ID  
AS0101-003MB|APC/L-2F MOTHERBOARD ONLY      
AS0101-501|APC/LXFR 18 VAC WALL TRANSFORM 
AS0101-600|BATTERY & CABLE                
ASC-121T|MOT. CARD 26B                  
ASK-116T|MOT. CARD KEY TAG              
ASR-620|ASP POWERPROX, 26B, BL         
AT-132-AT|ACTIVE TAG ACTIVATOR STANDALON 
AT-132-AT-PS|ACTIVE TAG PWR SUP FOR AT-132- 
AT-132-NR-S-PS|ACTIVE TAG PWR SUP FOR AT-132- 
AT132-A-PO|ACTIVE TAG PLEX ANTENNA OVERHE 
AT132-NR-S|ACTIVE TAG ACT-NTWK WIEG RS 23 
AT132A|ACTIVE TAG ASSET TAG           
AT132AM|ACTIVE TAG ASSET FOR METAL MNT 
AT132LED|ACTIVE TAG LED TEST TAG        
AT132V|ACTVIE TAG VEHICLE TAG         
AVT-159|MOT. ASP VEHICLE TAG           
AW5082|EXTERNAL WIRE ASSY             
AXCD16|DPLX,MUX,16,CLR,NTSC           
AXCD4|DPLX,MUX,4,CLR,NTSC            
AXCD9|DPLX,MUX,9,CLR,NTSC            
AXCD9X|DPLX,MUX,9,CLR,PAL             
AXMD16|DPLX,MUX,16,B/W,EIA            
AXMD16X|DPLX,MUX,16,B/W,CCIR           
AXRC|RMT CMT PNL,1K                 
BC-301|BAR CODE READER                
BC-MPL|MOUNTING PLATE FOR BC-31       
BK-1ADT|BADGING KIT C16 PRTR CAMERA    
C2104-13|REQUEST TO EXIT PIR, BLACK     
C2116-14|MNT-MAGNET,CAMERA,FLEX ARM     
C2122-14|MNT-CLIP,CAMERA,FLEX ARM       
C2580-24|CONTACT, ARMRD, WIDE GAP       
C2616-27|POWER SUPPLY, 3AMP, 12V        
C2626-27|POWER SUPPLY, 10AMP, 24V       
C2927-37|POWER DISTRIBUTION MODULE - D  
C3140-49|HOLD UP SWITCH/MOMENTARY       
C3141-49|TELEPHONE JACK                 
C3142-49|TELEPHONE MODULAR CORD, 8|     
C3143-49|B-CONNECTOR/PLAIN/SPLCE (1000) 
C3144-99|AUDIO MONITORING KIT           
C3146-99|RELAY FOR RADIONICS D2112E     
C3147-99|BATTERY/12V/4AH, 10 per box    
C3200-24|Contact/Door/1" DPDT/Natural   
C3311-05|1000| PLENUM 18/2C OS CBL      
C3312-05|1000| PLENUM 22/2PR INDS CBL   
C3626-31|VCR MOUNT - ADJ HGHT/WDTH      
C3700H-2V2AW|Camera Col Hi Res 1/3 Lens 2.5 
C3752-99|AMERPOWER CONV BACK UP450      
C3829-14|CCTV CABINET 32X21X20          
C3855-99|MON, CLR, 32IN, PVM, NTSC/PAL  
C3887-10|CAMERA POWER SUPPLY 12VD       
CAB-100EXT|FLAT CABLE EXTENTION 100|      
CBC-4030-1D|ULTRALINK TRAFFIC FLOW, 1 DOOR 
CBC-4030-2D|ULTRALINK TRAFFIC FLOW, 2 DOOR 
CBLK-10|10 FEET CABLE KIT              
CBLK-11|MODEM CABLE/CON. RS- 232       
CBLK-12|MODEM CABLE/CONNECTOR          
CC3751H-2|VIDEO, CAMERA; COLOR HI RESOLU 
CC800-202|PRINT HEAD REPLC, NISCA 5200   
CC800-21|RIBBON, 4 COLOR DYE SUBLIMATIN 
CC800-311|VIDEO CABLE 25 PIN M/F COAX    
CC800-518|CLEANING KIT, PROPRINTER 4 PEN 
CC800-738|RIBBON, 4 CLR DYE SUBLIM YMCKK 
CC800-740|RIBBON, 4 CLR DYE SUBLM YMCKOK 
CC800-781|OVERLAY, THRM TRNSFR 500 PRINT 
CC800-782|OVERLAY, THRM TRNSFR SECURE DE 
CC800-784|OVRLAMINATE, POLYGUARD CLEAR   
